NOGRID,LON,LAT,b20,b50,b100,b150,a20,a50,a100,a150,a200,a300
147877,117.05,-9.1,5.8824,39.2157,68.6275,92.1569,94.1176,60.7843,31.3725,7.8431,5.8824,0
146870,116.9,-9.05,5.8824,29.4118,60.7843,84.3137,94.1176,70.5882,39.2157,15.6863,5.8824,0
147206,116.95,-9.05,5.8824,29.4118,66.6667,88.2353,94.1176,70.5882,33.3333,11.7647,5.8824,0
147542,117,-9.05,5.8824,33.3333,66.6667,90.1961,94.1176,66.6667,33.3333,9.8039,5.8824,0
147878,117.05,-9.05,5.8824,37.2549,66.6667,90.1961,94.1176,62.7451,33.3333,9.8039,5.8824,0
148214,117.1,-9.05,5.8824,39.2157,66.6667,90.1961,94.1176,60.7843,33.3333,9.8039,1.9608,0
148550,117.15,-9.05,5.8824,43.1373,70.5882,90.1961,94.1176,56.8627,29.4118,9.8039,0,0
145863,116.75,-9,5.8824,19.6078,54.902,70.5882,94.1176,80.3922,45.098,29.4118,9.8039,0
146199,116.8,-9,5.8824,23.5294,54.902,74.5098,94.1176,76.4706,45.098,25.4902,9.8039,0
146535,116.85,-9,5.8824,25.4902,58.8235,80.3922,94.1176,74.5098,41.1765,19.6078,5.8824,0
146871,116.9,-9,5.8824,29.4118,62.7451,84.3137,94.1176,70.5882,37.2549,15.6863,5.8824,0
147207,116.95,-9,5.8824,31.3725,64.7059,88.2353,94.1176,68.6275,35.2941,11.7647,5.8824,0
147543,117,-9,5.8824,33.3333,64.7059,90.1961,94.1176,66.6667,35.2941,9.8039,5.8824,0
147879,117.05,-9,5.8824,33.3333,64.7059,90.1961,94.1176,66.6667,35.2941,9.8039,3.9216,0
148215,117.1,-9,5.8824,35.2941,66.6667,90.1961,94.1176,64.7059,33.3333,9.8039,3.9216,0
148551,117.15,-9,5.8824,37.2549,66.6667,90.1961,94.1176,62.7451,33.3333,9.8039,1.9608,0
148887,117.2,-9,5.8824,37.2549,68.6275,92.1569,94.1176,62.7451,31.3725,7.8431,0,0
149223,117.25,-9,5.8824,35.2941,68.6275,92.1569,94.1176,64.7059,31.3725,7.8431,0,0
149559,117.3,-9,5.8824,33.3333,64.7059,88.2353,94.1176,66.6667,35.2941,11.7647,3.9216,0
149895,117.35,-9,5.8824,31.3725,64.7059,86.2745,94.1176,68.6275,35.2941,13.7255,5.8824,0
