NOGRID,LON,LAT,VAL,MIN,MAX,SH,CHp
147877,117.05,-9.1,99.5088,30.68,250.64,134.9214,83.3904
146870,116.9,-9.05,122.6794,35.16,288.96,138.1483,87.7838
147206,116.95,-9.05,116.5035,34.23,277.19,132.996,83.5813
147542,117,-9.05,109.8424,33.12,264.07,129.1304,80.1326
147878,117.05,-9.05,103.0253,31.86,253.06,126.3909,79.6801
148214,117.1,-9.05,99.2678,30.57,241.44,125.6537,79.3338
148550,117.15,-9.05,95.3284,29.24,229.51,124.9418,78.1618
145863,116.75,-9,140.2084,37.3,312.23,149.9316,90.0081
146199,116.8,-9,138.7514,37.83,311.76,143.8625,90.3547
146535,116.85,-9,131.6853,36.8,298.65,136.2949,88.6239
146871,116.9,-9,125.9357,36.11,288.37,130.4809,84.1734
147207,116.95,-9,121.1118,35.63,280.11,127.1616,85.2566
147543,117,-9,113.8643,34.4,266.09,122.982,78.6091
147879,117.05,-9,108.3208,32.58,250.37,121.6923,77.8486
148215,117.1,-9,104.5365,31.31,238.9,120.7045,76.5516
148551,117.15,-9,100.3418,29.91,226.64,119.4905,71.1557
148887,117.2,-9,98.6145,29.27,220.06,119.3075,69.5722
149223,117.25,-9,98.5706,29.11,217.24,120.4782,70.1313
149559,117.3,-9,100.542,29.56,218.74,122.6247,74.9217
149895,117.35,-9,102.5165,29.98,220.09,124.2788,78.7802
150231,117.4,-9,104.2241,30.32,220.69,125.3559,85.9436
150567,117.45,-9,106.1959,30.74,226.27,126.6378,88.6574
150903,117.5,-9,106.0076,30.51,227.74,126.8893,89.778
151239,117.55,-9,100.3506,28.96,213.89,125.8978,91.7052
145864,116.75,-8.95,133.4245,35.58,286.95,139.3871,89.0247
146200,116.8,-8.95,132.0476,36.12,286.5,132.8089,84.9381
146536,116.85,-8.95,126.4606,35.49,276.9,126.8194,82.924
146872,116.9,-8.95,122.8784,35.41,271.61,123.7948,81.8805
147208,116.95,-8.95,118.8786,35.18,265.37,120.393,71.5218
147544,117,-8.95,114.6678,34.98,255.82,118.3401,70.9037
147880,117.05,-8.95,111.4775,33.87,245.69,117.3027,71.4496
148216,117.1,-8.95,104.9282,31.74,228.37,115.1632,70.2356
148552,117.15,-8.95,101.6565,30.62,218.39,113.988,69.3394
148888,117.2,-8.95,99.9949,29.98,211.97,113.6286,66.132
149224,117.25,-8.95,100.8065,30.07,211.05,114.769,66.3219
149560,117.3,-8.95,101.9951,30.29,215.25,116.389,70.8381
149896,117.35,-8.95,103.9576,30.71,221.17,117.8008,71.9879
150232,117.4,-8.95,105.9812,31.16,227.34,118.8328,76.9391
150568,117.45,-8.95,108.0967,31.61,233.82,119.2039,77.9455
150904,117.5,-8.95,111.7994,35.28,238.11,121.7657,88.4907
151240,117.55,-8.95,112.4343,35.6,237.53,121.0389,81.6479
151576,117.6,-8.95,111.2684,35.35,233.12,120.8391,79.5711
142169,116.2,-8.9,128.6639,29.43,246.43,138.3632,78.3799
142505,116.25,-8.9,126.519,29.18,239.17,135.1666,77.8071
142841,116.3,-8.9,122.6453,28.53,233.28,132.4226,79.7541
143177,116.35,-8.9,121.2776,28.43,237.98,131.0184,77.1049
143513,116.4,-8.9,119.1547,28.14,240.75,130.5467,77.9089
143849,116.45,-8.9,113.61,26.84,227.92,126.7127,76.2562
144185,116.5,-8.9,111.2859,26.31,221.65,127.0898,75.6619
144521,116.55,-8.9,105.1386,25.46,210.9,127.6265,74.9293
145865,116.75,-8.9,121.7675,32.56,251.98,130.235,83.5013
146201,116.8,-8.9,120.5965,33.09,251.7,124.3497,82.5134
146537,116.85,-8.9,117.0225,32.98,246.41,119.7682,76.2499
146873,116.9,-8.9,117.1337,33.93,248.93,118.1549,75.9517
147209,116.95,-8.9,117.8994,35.23,250.37,118.3125,72.3808
147545,117,-8.9,115.1416,35.47,244.33,116.238,69.0854
147881,117.05,-8.9,109.9065,33.73,230.09,113.7805,69.6975
148217,117.1,-8.9,106.6839,32.59,221.31,112.7176,69.9443
148553,117.15,-8.9,103.8622,31.6,217.15,111.8851,67.4454
148889,117.2,-8.9,102.9469,31.17,216.96,112.2457,66.9539
149225,117.25,-8.9,104.0425,31.37,221.04,114.2787,71.577
149561,117.3,-8.9,104.5398,31.36,223.92,116.1582,71.3134
149897,117.35,-8.9,105.1359,31.4,227.06,116.9486,72.0182
150233,117.4,-8.9,108.1629,32.14,235.55,117.8795,70.943
150569,117.45,-8.9,112.1724,35.92,240.51,119.9169,74.6212
150905,117.5,-8.9,116.1167,39.8,245.18,120.8999,82.036
151241,117.55,-8.9,115.7825,39.84,242.48,117.8379,75.2574
151577,117.6,-8.9,118.8953,41.09,246.9,117.2134,69.4748
151913,117.65,-8.9,121.0239,42,249.13,116.8709,68.6582
152249,117.7,-8.9,121.3437,42.3,250.16,116.1122,65.3415
152585,117.75,-8.9,120.8182,42.31,257.81,115.3915,64.6438
152921,117.8,-8.9,120.1324,42.25,265.29,116.0942,66.6886
153257,117.85,-8.9,115.8041,40.92,264.58,115.9023,65.2372
153593,117.9,-8.9,111.9035,39.73,264.47,117.0611,69.777
140490,115.95,-8.85,139.1718,32.83,281.7,138.6067,80.2948
140826,116,-8.85,140.6176,31.13,288.8,140.6782,81.969
141162,116.05,-8.85,142.4347,31.86,288.28,144.8271,81.2124
141498,116.1,-8.85,138.5469,31.3,276.44,143.7123,82.1627
141834,116.15,-8.85,131.8137,30.06,259.37,138.5216,74.8385
142170,116.2,-8.85,127.6745,29.37,247.81,134.1616,75.7878
142506,116.25,-8.85,124.2845,28.84,238.05,130.0104,77.5365
142842,116.3,-8.85,122.9469,28.76,233.12,127.2558,77.7245
143178,116.35,-8.85,120.3996,28.39,235.62,125.9403,74.9188
143514,116.4,-8.85,115.4253,27.22,224.16,123.1275,69.7741
146202,116.8,-8.85,108.259,29.82,216.39,118.0307,75.933
146538,116.85,-8.85,108.8673,30.83,219.46,114.5868,72.5087
146874,116.9,-8.85,113.108,33.08,227.79,116.1676,72.5106
147210,116.95,-8.85,115.1304,34.75,233.43,117.1256,67.8784
147546,117,-8.85,112.7384,35.09,233.56,114.2683,67.2012
147882,117.05,-8.85,109.9935,34.09,229.66,111.9224,69.2159
148218,117.1,-8.85,106.3771,32.84,223.88,110.2574,67.7125
148554,117.15,-8.85,105.1551,32.32,223.08,109.9367,67.3359
148890,117.2,-8.85,104.2539,31.91,222.97,110.9008,67.8818
149226,117.25,-8.85,105.2224,32.06,226.89,113.2874,69.5927
149562,117.3,-8.85,105.159,31.88,228.65,115.4797,72.37
149898,117.35,-8.85,105.6849,31.9,231.74,116.5402,72.4077
150234,117.4,-8.85,109.3624,35.54,236.08,119.7323,73.7036
150570,117.45,-8.85,112.9649,39.25,240.12,120.858,79.8702
150906,117.5,-8.85,116.9884,43.22,244.92,121.309,81.9395
151242,117.55,-8.85,119.1798,44.24,247.44,118.5638,75.7109
151578,117.6,-8.85,122.2314,45.59,251.62,116.8253,66.2214
151914,117.65,-8.85,125.4065,47.01,255.87,115.3084,64.6022
152250,117.7,-8.85,127.4224,47.99,263.11,113.8562,65.1783
152586,117.75,-8.85,129.0651,48.86,275.76,113.7435,66.8556
152922,117.8,-8.85,126.1302,48.01,278.78,113.7368,64.5483
153258,117.85,-8.85,118.6969,45.42,271.34,113.1138,63.4051
153594,117.9,-8.85,109.4322,39.46,254.91,110.5218,58.2933
135115,115.15,-8.8,167.21,47.71,333.7,107.3928,60.8133
135451,115.2,-8.8,163.4,49.84,329.18,105.5074,57.4937
137803,115.55,-8.8,168.9833,61.75,340.76,131.214,73.8384
138139,115.6,-8.8,161.6982,56.36,324.32,131.8215,74.2052
139819,115.85,-8.8,135.4824,36.15,270.04,133.626,76.4463
140155,115.9,-8.8,135.0143,34.04,273.19,133.1035,79.6064
140491,115.95,-8.8,135.0627,32.07,277.34,132.7776,76.0588
140827,116,-8.8,136.2402,30.36,283.81,134.1551,79.0584
141163,116.05,-8.8,137.9647,31.06,283.17,137.2492,78.9319
141499,116.1,-8.8,134.2937,30.52,271.67,136.5463,74.0965
141835,116.15,-8.8,128.1982,29.41,255.7,134.2337,74.1162
142171,116.2,-8.8,124.0576,28.71,244.04,130.9265,74.013
142507,116.25,-8.8,123.7978,28.9,240.27,127.7963,77.7833
142843,116.3,-8.8,124.3302,29.26,238.14,122.9623,79.4341
143179,116.35,-8.8,122.2747,28.79,229.56,120.9696,69.6513
143515,116.4,-8.8,115.1553,27.12,214.02,118.7249,67.0579
143851,116.45,-8.8,106.5978,25.12,196.42,114.3455,66.8521
144187,116.5,-8.8,100.259,23.65,183.13,112.0516,65.1135
146539,116.85,-8.8,102.3469,29.26,201.37,111.6594,64.6659
146875,116.9,-8.8,107.1135,31.64,215.51,113.2441,67.0848
147211,116.95,-8.8,110.81,33.78,227.9,114.7109,67.837
147547,117,-8.8,110.1918,34.65,231.58,111.5994,65.9354
147883,117.05,-8.8,107.1555,33.56,227,108.6899,63.7724
148219,117.1,-8.8,104.8251,32.7,223.86,107.0736,63.1315
148555,117.15,-8.8,104.1773,32.36,224.3,106.7464,63.0021
148891,117.2,-8.8,104.7118,32.39,227.32,107.9279,66.0736
149227,117.25,-8.8,105.2331,32.4,230.38,110.8671,62.3078
149563,117.3,-8.8,103.9906,31.88,229.59,113.3701,68.2336
149899,117.35,-8.8,108.8698,35.9,236.61,119.7582,66.8951
150235,117.4,-8.8,110.3722,38.89,236.2,122.4288,72.4806
150571,117.45,-8.8,112.7671,42.21,237.65,123.2062,79.9908
150907,117.5,-8.8,117.5027,46.5,243.91,123.286,82.3836
151243,117.55,-8.8,118.6453,47.2,244.23,120.4655,84.9233
151579,117.6,-8.8,122.1363,48.84,249.24,118.1003,70.565
151915,117.65,-8.8,126.3225,50.79,255.48,116.4039,72.001
152251,117.7,-8.8,130.0541,52.58,268.97,115.1954,67.6345
152587,117.75,-8.8,133.5182,54.29,285.62,115.2568,66.479
152923,117.8,-8.8,130.2131,53.26,288.06,115.0424,68.2183
153259,117.85,-8.8,116.6106,45.3,262.55,110.9302,62.9916
153595,117.9,-8.8,104.4918,38.27,239.74,107.2933,56.0529
130076,114.4,-8.75,92.2441,22.57,209.05,113.4424,57.752
130412,114.45,-8.75,95.8767,23.39,217.09,112.0983,58.0565
130748,114.5,-8.75,96.6104,23.51,224.48,110.5724,59.0019
131084,114.55,-8.75,101.2073,25.02,230.09,114.1199,58.1805
137468,115.5,-8.75,160.2214,61.5,322.94,125.9138,74.8137
137804,115.55,-8.75,161.0465,59.06,322.85,127.5156,75.2148
138140,115.6,-8.75,148.7871,52.04,296.65,127.1062,75.4094
139820,115.85,-8.75,128.9455,34.65,260.8,130.2125,74.6923
140156,115.9,-8.75,129.1037,32.78,265.04,129.5132,77.8194
140492,115.95,-8.75,128.0273,30.6,266.7,128.6551,75.9525
140828,116,-8.75,127.921,28.69,270.32,128.4275,73.9056
141500,116.1,-8.75,126.1331,28.85,258.72,130.2505,70.436
141836,116.15,-8.75,121.3614,28.01,245.39,130.4196,73.7931
142172,116.2,-8.75,122.2104,28.46,243.67,130.6238,75.109
142508,116.25,-8.75,127.4608,29.93,250.68,128.7212,84.3701
142844,116.3,-8.75,129.1935,30.36,249.07,120.1811,70.3262
143180,116.35,-8.75,125.1057,29.41,236.29,115.3409,68.5963
143516,116.4,-8.75,115.2461,27.11,213.12,114.3874,60.635
143852,116.45,-8.75,106.5871,25.09,192.85,111.239,64.7765
144188,116.5,-8.75,106.0661,24.98,187.65,112.2196,66.2677
146204,116.8,-8.75,93.6912,26.16,182.81,109.8785,62.7538
146540,116.85,-8.75,97.5931,28.18,194.8,108.8407,56.8091
146876,116.9,-8.75,102.628,30.62,209.49,111.1195,58.4114
147212,116.95,-8.75,105.5851,32.52,220.33,110.2213,59.8967
147548,117,-8.75,105.562,33.54,225.11,107.1344,48.1767
147884,117.05,-8.75,103.5214,32.77,222.55,104.4729,53.4529
148220,117.1,-8.75,104.16,32.84,225.77,103.8669,51.4677
148556,117.15,-8.75,103.6708,32.56,226.58,103.4215,52.6243
148892,117.2,-8.75,104.3312,32.62,229.96,104.6828,59.0466
149228,117.25,-8.75,105.2098,32.75,233.89,108.1528,65.0914
149564,117.3,-8.75,109.1792,36.53,238.91,115.5562,66.2961
149900,117.35,-8.75,110.3749,39.43,237.8,121.7065,67.2188
150236,117.4,-8.75,109.9355,41.69,233.25,124.9752,73.141
150572,117.45,-8.75,110.7186,44.37,231.36,125.6962,76.5458
150908,117.5,-8.75,113.8586,47.99,234.37,125.3248,78.6174
151244,117.55,-8.75,115.9606,49.16,236.68,121.7463,80.8043
151580,117.6,-8.75,119.5251,50.96,241.82,118.8896,79.023
151916,117.65,-8.75,121.8745,52.27,244.34,116.4981,75.0056
152252,117.7,-8.75,129.0165,55.67,267.23,115.8143,71.3583
152588,117.75,-8.75,132.6184,57.56,284.03,115.9151,67.7947
152924,117.8,-8.75,124.2198,51.56,270.47,112.6739,66.3628
153260,117.85,-8.75,110.9982,43.79,245.96,109.3285,63.8602
