NOGRID,LON,LAT,VAL,MIN,MAX
147877,117.05,-9.1,73.1473,22.9264,198.7116
146870,116.9,-9.05,72.9232,23.4263,195.1359
147206,116.95,-9.05,77.0272,24.5988,210.4335
147542,117,-9.05,78.8904,25.0263,219.2983
147878,117.05,-9.05,79.5076,24.9721,222.7653
148214,117.1,-9.05,76.4506,23.6961,217.4056
148550,117.15,-9.05,71.7647,21.9764,209.8473
145863,116.75,-9,61.1706,19.511,163.6936
146199,116.8,-9,67.482,21.6588,182.3461
146535,116.85,-9,74.2247,24.0474,203.4475
146871,116.9,-9,78.6325,25.5148,219.9933
147207,116.95,-9,80.9376,26.0378,230.6889
147543,117,-9,82.4272,26.207,237.061
147879,117.05,-9,81.6153,25.563,238.2932
148215,117.1,-9,78.3211,24.1816,235.7025
148551,117.15,-9,74.9868,22.8732,232.6182
148887,117.2,-9,70.6752,21.3937,222.7919
149223,117.25,-9,69.447,20.8226,219.4799
149559,117.3,-9,72.327,21.3577,228.2724
149895,117.35,-9,76.1619,22.1342,238.5088
150231,117.4,-9,78.149,22.4257,240.6184
150567,117.45,-9,77.0169,22.11,233.4624
150903,117.5,-9,74.5078,21.6318,224.4327
151239,117.55,-9,68.6264,20.1668,206.1077
145864,116.75,-8.95,64.991,19.3681,181.3121
146200,116.8,-8.95,72.4599,21.6878,204.3363
146536,116.85,-8.95,76.8621,23.1684,220.2083
146872,116.9,-8.95,81.3424,24.7978,237.6016
147208,116.95,-8.95,82.3099,25.6336,243.1297
147544,117,-8.95,82.6462,25.8888,248.1582
147880,117.05,-8.95,81.7209,25.0635,253.0879
148216,117.1,-8.95,78.9729,23.4594,253.0591
148552,117.15,-8.95,76.2669,21.9854,251.5783
148888,117.2,-8.95,73.0017,20.8193,244.3571
149224,117.25,-8.95,72.1564,20.7499,242.0717
149560,117.3,-8.95,72.8854,21.3572,243.6048
149896,117.35,-8.95,74.8474,21.7786,246.4999
150232,117.4,-8.95,75.3818,21.948,244.4139
150568,117.45,-8.95,75.2428,22.1696,241.9312
150904,117.5,-8.95,72.6407,21.7224,232.2755
151240,117.55,-8.95,68.8727,20.8457,219.1285
151576,117.6,-8.95,61.6469,18.7165,194.7261
142169,116.2,-8.9,64.3474,13.4993,194.0402
142505,116.25,-8.9,64.7772,13.9336,192.4831
142841,116.3,-8.9,61.7942,13.6641,181.105
143177,116.35,-8.9,56.6548,12.8881,164.2113
143513,116.4,-8.9,51.9041,12.1459,150.8476
143849,116.45,-8.9,48.6211,11.7951,142.4026
144185,116.5,-8.9,46.571,11.881,136.4896
144521,116.55,-8.9,44.5626,11.9817,129.1011
145865,116.75,-8.9,65.24,18.1114,189.422
146201,116.8,-8.9,72.0482,20.0444,211.6636
146537,116.85,-8.9,78.0496,21.8192,233.1405
146873,116.9,-8.9,80.3162,22.7814,243.2683
147209,116.95,-8.9,80.2798,22.7653,247.7374
147545,117,-8.9,81.0498,22.3953,258.0862
147881,117.05,-8.9,80.1579,21.3418,264.3189
148217,117.1,-8.9,78.1913,20.0072,266.4954
148553,117.15,-8.9,75.5532,18.7085,264.3515
148889,117.2,-8.9,73.1967,17.9206,259.5171
149225,117.25,-8.9,71.3352,17.4011,253.3427
149561,117.3,-8.9,70.3045,17.433,247.4514
149897,117.35,-8.9,68.8275,17.7517,239.3035
150233,117.4,-8.9,68.1085,18.0377,234.8942
150569,117.45,-8.9,68.5839,18.5621,234.7705
150905,117.5,-8.9,67.0722,18.4742,227.8266
151241,117.55,-8.9,62.4507,17.4189,210.3666
151577,117.6,-8.9,58.4774,16.444,195.0363
151913,117.65,-8.9,54.8514,14.9279,182.58
152249,117.7,-8.9,52.7014,13.9593,174.0631
152585,117.75,-8.9,51.8474,14.1883,165.5713
152921,117.8,-8.9,53.7746,15.4028,164.0971
153257,117.85,-8.9,58.5351,17.5439,170.1082
153593,117.9,-8.9,61.7982,18.7403,171.464
140490,115.95,-8.85,60.4942,12.7255,187.2301
140826,116,-8.85,59.7464,11.8774,186.5041
141162,116.05,-8.85,60.4213,11.7999,188.5124
141498,116.1,-8.85,64.4687,12.5189,200.0796
141834,116.15,-8.85,69.1979,13.5188,212.6423
142170,116.2,-8.85,72.9506,14.4892,221.4349
142506,116.25,-8.85,72.7655,14.799,218.0384
142842,116.3,-8.85,66.5813,13.9204,197.1489
143178,116.35,-8.85,57.8827,12.4551,171.1911
143514,116.4,-8.85,51.5155,11.3982,154.1812
146202,116.8,-8.85,70.7263,18.2832,215.6375
146538,116.85,-8.85,76.529,19.8609,236.883
146874,116.9,-8.85,77.53,19.9212,245.0895
147210,116.95,-8.85,78.9206,19.6507,257.3264
147546,117,-8.85,80.733,19.2737,272.4445
147882,117.05,-8.85,78.9635,17.985,275.7416
148218,117.1,-8.85,75.5839,16.4512,272.1438
148554,117.15,-8.85,73.4803,15.4453,270.8496
148890,117.2,-8.85,71.042,14.394,265.0336
149226,117.25,-8.85,67.6728,13.6174,252.4103
149562,117.3,-8.85,64.2461,13.2518,238.3532
149898,117.35,-8.85,61.0509,12.927,225.249
150234,117.4,-8.85,60.666,13.2584,222.106
150570,117.45,-8.85,60.0967,13.5829,217.8853
150906,117.5,-8.85,58.2144,13.5778,208.694
151242,117.55,-8.85,55.8388,13.3604,197.742
151578,117.6,-8.85,53.3059,12.9721,186.3482
151914,117.65,-8.85,52.617,12.6904,182.1917
152250,117.7,-8.85,53.0182,13.2515,177.8775
152586,117.75,-8.85,53.5681,14.1139,171.9402
152922,117.8,-8.85,54.2669,15.0601,165.6822
153258,117.85,-8.85,57.4519,16.6916,166.7139
153594,117.9,-8.85,61.6743,18.64,170.7725
135115,115.15,-8.8,72.0609,21.7856,249.5925
135451,115.2,-8.8,78.0574,23.9947,266.1539
137803,115.55,-8.8,80.4051,24.1618,262.7314
138139,115.6,-8.8,73.6455,22.0196,240.5146
139819,115.85,-8.8,60.4367,14.9235,180.4426
140155,115.9,-8.8,61.5095,13.992,187.691
140491,115.95,-8.8,61.4302,12.8111,190.62
140827,116,-8.8,59.8344,11.7536,187.3284
141163,116.05,-8.8,61.3689,11.6979,192.2732
141499,116.1,-8.8,67.2039,12.6498,209.5519
141835,116.15,-8.8,75.4324,14.234,233.1893
142171,116.2,-8.8,80.6173,15.4288,246.5374
142507,116.25,-8.8,82.1508,16.0721,248.3861
142843,116.3,-8.8,71.7985,14.4223,214.8495
143179,116.35,-8.8,54.228,11.1995,163.7024
143515,116.4,-8.8,50.7296,10.7602,154.8206
143851,116.45,-8.8,46.1048,10.0862,141.0117
144187,116.5,-8.8,41.007,9.3278,124.6029
146539,116.85,-8.8,75.6736,17.9829,242.9268
146875,116.9,-8.8,78.1277,18.0301,257.6805
147211,116.95,-8.8,79.8645,17.6672,271.9592
147547,117,-8.8,79.5937,16.7151,280.4585
147883,117.05,-8.8,76.2374,15.1259,277.7852
148219,117.1,-8.8,73.2857,13.7731,275.077
148555,117.15,-8.8,70.2599,12.5996,269.7105
148891,117.2,-8.8,66.9789,11.3755,260.1268
149227,117.25,-8.8,61.5091,10.3387,239.4596
149563,117.3,-8.8,57.5609,9.8309,223.5623
149899,117.35,-8.8,54.4672,9.6329,210.1977
150235,117.4,-8.8,52.2981,9.6823,199.8765
150571,117.45,-8.8,51.1042,9.9386,192.9285
150907,117.5,-8.8,50.2026,10.2281,186.8651
151243,117.55,-8.8,49.5789,10.5006,181.7517
151579,117.6,-8.8,48.311,10.5102,174.358
151915,117.65,-8.8,49.554,11.1245,174.5962
152251,117.7,-8.8,53.6826,12.6674,182.0875
152587,117.75,-8.8,54.6555,13.6633,176.7974
152923,117.8,-8.8,52.3748,13.8803,160.7882
153259,117.85,-8.8,54.4734,15.2356,158.6694
153595,117.9,-8.8,57.2842,16.778,159.0108
130076,114.4,-8.75,74.4102,21.7294,248.0459
130412,114.45,-8.75,76.9708,22.5069,258.1373
130748,114.5,-8.75,75.7563,22.1611,259.0331
131084,114.55,-8.75,72.0926,21.0752,252.0575
137468,115.5,-8.75,80.9607,23.8236,257.1204
137804,115.55,-8.75,80.0859,23.6775,255.1802
138140,115.6,-8.75,74.4449,22.4218,236.828
139820,115.85,-8.75,57.5023,14.3588,172.5969
140156,115.9,-8.75,58.8533,13.3743,180.6835
140492,115.95,-8.75,57.8979,12.0739,180.4847
140828,116,-8.75,56.7091,11.0522,178.2222
141500,116.1,-8.75,70.3666,13.1091,220.4744
141836,116.15,-8.75,78.5243,14.6379,244.099
142172,116.2,-8.75,85.5178,16.1358,263.2002
142508,116.25,-8.75,83.4164,16.0527,254.0825
142844,116.3,-8.75,72.1753,14.2171,217.8657
143180,116.35,-8.75,49.7514,10.0113,152.1746
143516,116.4,-8.75,52.8825,10.8835,163.6291
143852,116.45,-8.75,47.6435,10.1012,147.6687
144188,116.5,-8.75,41.7572,9.1983,128.519
146204,116.8,-8.75,70.6377,15.8228,229.4309
146540,116.85,-8.75,76.3994,16.8042,253.245
146876,116.9,-8.75,78.4664,16.6171,267.6034
147212,116.95,-8.75,79.2263,15.896,279.4216
147548,117,-8.75,78.1272,14.6649,285.6078
147884,117.05,-8.75,74.1059,12.9227,280.5626
148220,117.1,-8.75,69.9233,11.3674,272.8916
148556,117.15,-8.75,65.7742,10.2268,261.7438
148892,117.2,-8.75,61.1135,9.2706,244.5105
149228,117.25,-8.75,56.1375,8.4743,224.8219
149564,117.3,-8.75,52.019,8.0807,207.4686
149900,117.35,-8.75,47.7707,7.7975,188.951
150236,117.4,-8.75,45.2309,7.8374,176.8346
150572,117.45,-8.75,43.8037,8.0647,168.8476
150908,117.5,-8.75,43.7976,8.4319,166.1966
151244,117.55,-8.75,42.9712,8.4753,160.5829
151580,117.6,-8.75,42.0656,8.4137,154.745
151916,117.65,-8.75,44.8296,9.3212,160.5996
152252,117.7,-8.75,49.4392,11.0006,169.865
152588,117.75,-8.75,48.7476,11.728,159.0893
152924,117.8,-8.75,48.4813,12.5856,149.5836
153260,117.85,-8.75,50.6277,14.0435,147.7193
153596,117.9,-8.75,53.4236,15.6022,148.2417
130077,114.4,-8.7,81.6074,25.2739,264.715
130413,114.45,-8.7,81.3253,25.2237,267.5468
130749,114.5,-8.7,79.4854,24.6959,266.5467
131085,114.55,-8.7,74.6467,23.2061,255.8998
135453,115.2,-8.7,73.7273,21.9068,241.8042
135789,115.25,-8.7,69.5543,20.4346,223.6232
137133,115.45,-8.7,79.2917,22.1522,244.1542
137469,115.5,-8.7,79.0435,22.3486,244.7725
137805,115.55,-8.7,74.8106,22.0041,232.0366
141501,116.1,-8.7,69.4946,12.9032,218.7339
141837,116.15,-8.7,79.3757,14.7438,247.9203
142173,116.2,-8.7,85.6078,16.0679,264.9109
142509,116.25,-8.7,84.2547,16.0587,258.4385
142845,116.3,-8.7,79.8897,15.4214,243.7491
143181,116.35,-8.7,68.4126,13.4185,211.5286
143517,116.4,-8.7,58.6183,11.7684,183.6403
143853,116.45,-8.7,50.9378,10.5293,159.7741
144189,116.5,-8.7,42.216,9.0708,131.3979
144525,116.55,-8.7,39.1877,8.417,122.2457
146205,116.8,-8.7,70.0089,14.4513,235.5089
146541,116.85,-8.7,76.9822,15.4993,264.6337
146877,116.9,-8.7,79.7854,15.2615,282.9383
147213,116.95,-8.7,79.3034,14.1136,291.6524
147549,117,-8.7,76.4128,12.4571,291.8683
147885,117.05,-8.7,71.9202,10.6948,284.3827
148221,117.1,-8.7,67.4113,9.378,272.8407
148557,117.15,-8.7,62.3952,8.5706,254.6442
148893,117.2,-8.7,58.8897,8.1376,241.1838
149229,117.25,-8.7,55.0818,7.7734,225.4544
149565,117.3,-8.7,50.4891,7.4481,205.3442
149901,117.35,-8.7,44.4452,6.9229,178.8517
150237,117.4,-8.7,40.2366,6.623,159.7196
150573,117.45,-8.7,38.4071,6.6307,150.1573
150909,117.5,-8.7,37.1148,6.5897,143.0845
151245,117.55,-8.7,36.6311,6.5996,139.1699
151581,117.6,-8.7,35.3838,6.5015,132.1224
151917,117.65,-8.7,37.0086,7.1567,134.2101
152253,117.7,-8.7,39.7136,8.3727,137.4564
152589,117.75,-8.7,42.3682,9.819,138.5914
